staff_id,hotel_id,first_name,last_name,gender,position,department,position_level,hire_date,salary,annual_bonus,shift,email,phone,emergency_contact,emergency_relation,emergency_phone,total_experience_years,company_tenure_years,skills,languages,certifications,previous_hotels_worked,employment_type,education_level,work_schedule,performance_rating,vacation_days_remaining,sick_days_remaining,is_active,termination_date,termination_reason,date_of_birth,nationality,emergency_contact_name,emergency_contact_phone
S0001001399,cc3acdad-11d2-445b-97ab-817695d9c105,Nidia,Becerra,F,Bell Captain,Front Desk,Intermediate,2020-08-21,83000,6365.49,Afternoon,nbecerra@hospitalitygroup.com,+1-625-248-5786,James Morgan,Parent,+1-339-852-8193,9.1,5.5,"Reservation Systems, Problem Solving, Multi-tasking, Computer Skills, Conflict Resolution","Japanese (Native), Arabic (Basic)",,3,Full-time,High School,11pm-7am,Meets Expectations,20,8,True,,,1994-01-22,Europe,James Morgan,+1-339-852-8193
S0001001400,cc3acdad-11d2-445b-97ab-817695d9c105,Encarnita,Garriga,F,Front Desk Agent,Front Desk,Junior,2025-08-13,58600,4740.55,Afternoon,encarnitag@luxuryhotels.com,+1-788-516-8137,Logan Lopez,Sibling,+1-520-499-2996,2.1,0.5,"Conflict Resolution, Problem Solving, Time Management, Multi-tasking","German (Native), Russian (Fluent), French (Intermediate)",,1,Seasonal,High School,Winter Only,Needs Improvement,5,9,True,,,1962-10-19,Europe,Logan Lopez,+1-520-499-2996
S0001001401,cc3acdad-11d2-445b-97ab-817695d9c105,Claudia,Nuñez,F,Receptionist,Front Desk,Junior,2023-03-08,66600,5029.43,Night,claudian@luxuryhotels.com,+1-275-653-9357,Andrew Wilson,Spouse,+1-234-960-3288,4.6,2.9,"Multi-tasking, Time Management, Conflict Resolution, Reservation Systems, Customer Service",Chinese (Native),,1,Full-time,High School,9am-5pm,Meets Expectations,14,10,True,,,1965-05-27,Europe,Andrew Wilson,+1-234-960-3288
S0001001402,cc3acdad-11d2-445b-97ab-817695d9c105,Maurizio,Treccani,M,Bell Captain,Front Desk,Intermediate,2018-10-20,64400,6074.95,Morning,maurizio.treccani35@luxuryhotels.com,+1-726-686-5879,George Anderson,Spouse,+1-510-347-3444,10.3,7.3,"Time Management, Reservation Systems, Problem Solving",Spanish (Native),,1,Full-time,High School,10am-6pm,Meets Expectations,25,5,True,,,1953-08-11,Europe,George Anderson,+1-510-347-3444
S0001001403,cc3acdad-11d2-445b-97ab-817695d9c105,Fabrizio,Navarria,M,Receptionist,Front Desk,Junior,2023-04-18,56000,6287.15,Night,fabrizio.navarria@hotelgroup.com,+1-579-541-9679,George Rhodes,Friend,+1-695-262-1602,4.8,2.8,"Conflict Resolution, Reservation Systems, Communication, Customer Service, Time Management",German (Native),,2,Full-time,Master's Degree,9am-5pm,Meets Expectations,14,8,False,2023-10-20,Terminated,1996-03-14,Europe,George Rhodes,+1-695-262-1602
S0001001404,cc3acdad-11d2-445b-97ab-817695d9c105,Melania,Zichichi,F,Guest Relations Manager,Front Desk,Senior,2020-04-12,107100,4322.11,Rotating,melaniaz@hospitalitygroup.com,+1-251-917-2291,Raymond Ali,Sibling,+1-605-561-2682,14.4,5.8,"Conflict Resolution, Time Management, Communication, Attention to Detail, Problem Solving, Reservation Systems",German (Native),,2,Full-time,High School,7am-3pm,Meets Expectations,15,9,True,,,1985-09-08,Europe,Raymond Ali,+1-605-561-2682
S0001001405,cc3acdad-11d2-445b-97ab-817695d9c105,Baltasar,Valentín,M,Bellhop,Front Desk,Entry Level,2024-10-05,49900,6132.01,Morning,baltasar.valentín@hotelgroup.com,+1-432-785-5379,Chris Perry,Spouse,+1-669-780-8163,2.9,1.4,"Time Management, Communication, Multi-tasking, Attention to Detail, Conflict Resolution",German (Native),,1,Full-time,High School,10am-6pm,Meets Expectations,10,12,True,,,1994-03-25,Europe,Chris Perry,+1-669-780-8163
S0001001406,cc3acdad-11d2-445b-97ab-817695d9c105,Peter,Marshall,M,Bell Captain,Front Desk,Intermediate,2018-05-13,82100,11316.06,Morning,peterm@hotels.com,+1-428-828-3220,Valerie Baldwin,Parent,+1-218-756-4589,14.3,7.8,"Multi-tasking, Problem Solving, Customer Service, Computer Skills, Time Management",German (Native),,1,Full-time,Vocational Training,11pm-7am,Meets Expectations,18,5,True,,,1992-08-15,Europe,Valerie Baldwin,+1-218-756-4589
S0001001407,cc3acdad-11d2-445b-97ab-817695d9c105,Carl,Saunders,M,Concierge,Front Desk,Intermediate,2020-09-10,90900,11424.57,Morning,carl.saunders70@hotelgroup.com,+1-979-229-6200,Karen Aguilar,Sibling,+1-740-656-1691,8.7,5.4,"Conflict Resolution, Computer Skills, Attention to Detail, Reservation Systems, Time Management","English (Native), Russian (Intermediate)",,1,Full-time,Vocational Training,7am-3pm,Exceeds Expectations,15,10,False,2024-05-17,Terminated,2000-03-15,Europe,Karen Aguilar,+1-740-656-1691
S0001001408,cc3acdad-11d2-445b-97ab-817695d9c105,Thibaut,De Oliveira,M,Guest Relations Manager,Front Desk,Senior,2018-03-07,109000,13591.84,Afternoon,thibaut.de oliveira85@luxuryhotels.com,+1-354-430-2433,Tamara Davis,Spouse,+1-527-829-2615,19.5,7.9,"Conflict Resolution, Time Management, Problem Solving, Multi-tasking, Computer Skills, Reservation Systems","Japanese (Native), Spanish (Basic)",,1,Full-time,Bachelor's Degree,11pm-7am,Exceeds Expectations,20,8,True,,,1987-05-16,Europe,Tamara Davis,+1-527-829-2615
S0001001409,cc3acdad-11d2-445b-97ab-817695d9c105,Vincentio,Ceravolo,M,Guest Relations Manager,Front Desk,Senior,2021-11-13,145600,15628.73,Afternoon,vincentio.ceravolo@hotelgroup.com,+1-935-358-2758,Reginald Meadows,Sibling,+1-998-941-8748,14.5,4.2,"Problem Solving, Conflict Resolution, Customer Service","Spanish (Native), Russian (Intermediate), Arabic (Intermediate), English (Fluent)","Wine & Spirits Certification, First Aid Certified",4,Full-time,Bachelor's Degree,9am-5pm,Meets Expectations,11,12,True,,,1956-02-01,Europe,Reginald Meadows,+1-998-941-8748
S0001001410,cc3acdad-11d2-445b-97ab-817695d9c105,Abel,Borrego,M,Bellhop,Front Desk,Entry Level,2023-04-26,47400,4341.98,Rotating,abel.borrego36@hospitalitygroup.com,+1-871-412-1582,Michael Murphy,Spouse,+1-660-247-5569,4.1,2.8,"Conflict Resolution, Communication, Time Management, Computer Skills, Attention to Detail","French (Native), Japanese (Fluent)",,2,Part-time,Bachelor's Degree,Weekends Only,Exceeds Expectations,15,9,True,,,2002-03-21,Europe,Michael Murphy,+1-660-247-5569
S0001001411,cc3acdad-11d2-445b-97ab-817695d9c105,Stuart,John,M,Receptionist,Front Desk,Junior,2023-12-17,53500,2650.96,Night,stuart.john33@hotels.com,+1-969-700-4853,Edward Torres,Sibling,+1-472-898-5315,3.5,2.2,"Multi-tasking, Customer Service, Problem Solving, Time Management","Chinese (Native), French (Fluent)",,0,Seasonal,High School,Summer Only,Meets Expectations,12,12,True,,,1962-06-23,Europe,Edward Torres,+1-472-898-5315
S0001001412,cc3acdad-11d2-445b-97ab-817695d9c105,Reyna,Pagès,F,Bell Captain,Front Desk,Intermediate,2024-04-28,96000,2996.98,Rotating,reyna.pagès@luxuryhotels.com,+1-622-556-9292,Matthew Vance,Spouse,+1-719-873-2170,7.9,1.8,"Conflict Resolution, Multi-tasking, Time Management, Reservation Systems","Chinese (Native), English (Basic)",,2,Part-time,High School,30 hours/week,Meets Expectations,13,8,True,,,2002-11-23,Europe,Matthew Vance,+1-719-873-2170
S0001001413,cc3acdad-11d2-445b-97ab-817695d9c105,Howard,Frost,M,Concierge,Front Desk,Intermediate,2022-03-05,73600,8861.13,Rotating,howard.frost@hotels.com,+1-977-594-3730,Nicholas Hamilton,Partner,+1-394-348-9945,7.2,3.9,"Customer Service, Time Management, Multi-tasking, Problem Solving, Communication","Japanese (Native), Russian (Basic)",,2,Full-time,High School,3pm-11pm,Meets Expectations,14,5,True,,,1964-02-22,Europe,Nicholas Hamilton,+1-394-348-9945
S0001001414,cc3acdad-11d2-445b-97ab-817695d9c105,Matthieu,Nguyen,M,Front Desk Agent,Front Desk,Junior,2023-03-07,64200,3811.88,Rotating,matthieu.nguyen71@luxuryhotels.com,+1-219-909-4345,Kimberly Wilson,Sibling,+1-776-726-2020,4.6,2.9,"Problem Solving, Time Management, Attention to Detail, Computer Skills, Communication, Multi-tasking","English (Native), Chinese (Intermediate), Japanese (Fluent)",,3,Full-time,High School,7am-3pm,Meets Expectations,13,6,True,,,1981-04-11,Europe,Kimberly Wilson,+1-776-726-2020
S0001001415,cc3acdad-11d2-445b-97ab-817695d9c105,Cécile,Bourgeois,F,Guest Relations Manager,Front Desk,Senior,2019-06-24,132000,5088.3,Morning,cbourgeois@hotelgroup.com,+1-518-281-5979,Christina Nelson,Sibling,+1-623-641-6421,13.4,6.6,"Problem Solving, Multi-tasking, Attention to Detail",German (Native),,2,Full-time,High School,11pm-7am,Needs Improvement,16,11,True,,,1970-07-23,Europe,Christina Nelson,+1-623-641-6421
S0001001416,cc3acdad-11d2-445b-97ab-817695d9c105,Éric,Diallo,M,Guest Relations Manager,Front Desk,Senior,2025-09-28,106300,8253.5,Afternoon,éricd@luxuryhotels.com,+1-458-913-7550,Robert Gibson,Spouse,+1-860-630-5856,11.9,0.4,"Computer Skills, Multi-tasking, Time Management, Problem Solving, Reservation Systems, Customer Service","Russian (Native), Chinese (Fluent)",,3,Full-time,High School,10am-6pm,Meets Expectations,6,7,True,,,1965-05-05,Europe,Robert Gibson,+1-860-630-5856
S0001001417,cc3acdad-11d2-445b-97ab-817695d9c105,Erkan,Zobel,M,Guest Relations Manager,Front Desk,Senior,2021-05-16,170300,23402.77,Afternoon,erkanz@luxuryhotels.com,+1-902-449-8894,Kristin Blevins,Partner,+1-965-348-7510,11.8,4.7,"Attention to Detail, Time Management, Reservation Systems, Problem Solving","English (Native), Spanish (Basic)",,3,Full-time,High School,7am-3pm,Meets Expectations,11,6,True,,,1970-06-07,Europe,Kristin Blevins,+1-965-348-7510
S0001001418,cc3acdad-11d2-445b-97ab-817695d9c105,Irene,Bennett,F,Front Desk Agent,Front Desk,Junior,2026-06-27,70700,4043.32,Night,ireneb@hospitalitygroup.com,+1-674-253-9394,Patricia Allen,Friend,+1-994-672-7065,3.4,0.1,"Problem Solving, Multi-tasking, Communication, Reservation Systems, Customer Service",Japanese (Native),,4,Full-time,High School,9am-5pm,Meets Expectations,7,8,True,,,2008-05-18,Europe,Patricia Allen,+1-994-672-7065
S0001001419,cc3acdad-11d2-445b-97ab-817695d9c105,Marcelle,Clerc,F,Guest Relations Manager,Front Desk,Senior,2024-05-20,93500,9240.35,Rotating,marcelle.clerc@hotelgroup.com,+1-575-314-1274,Linda Parker,Partner,+1-568-303-8173,7.7,1.7,"Computer Skills, Customer Service, Problem Solving, Reservation Systems, Communication",German (Native),"Wine & Spirits Certification, First Aid Certified",4,Full-time,Bachelor's Degree,8am-4pm,Meets Expectations,11,8,True,,,1966-07-01,Europe,Linda Parker,+1-568-303-8173
S0001001420,cc3acdad-11d2-445b-97ab-817695d9c105,Antoinette,Roy,F,Receptionist,Front Desk,Junior,2024-04-02,44700,4660.63,Night,aroy@hospitalitygroup.com,+1-383-542-9380,Jose Friedman,Partner,+1-929-802-2264,4.7,1.9,"Time Management, Reservation Systems, Conflict Resolution",Spanish (Native),,1,Full-time,Bachelor's Degree,3pm-11pm,Meets Expectations,10,9,True,,,1989-04-20,Europe,Jose Friedman,+1-929-802-2264
S0001001421,cc3acdad-11d2-445b-97ab-817695d9c105,Filippo,Rismondo,M,Front Desk Agent,Front Desk,Junior,2026-10-01,44100,4092.11,Night,filippo.rismondo79@hotelgroup.com,+1-488-947-3822,Edwin Schneider,Sibling,+1-270-260-3803,2.5,0.1,"Computer Skills, Problem Solving, Conflict Resolution, Time Management, Communication","Chinese (Native), Spanish (Fluent), English (Intermediate)",,0,Full-time,Master's Degree,3pm-11pm,Meets Expectations,8,7,True,,,1994-04-26,Europe,Edwin Schneider,+1-270-260-3803
S0001001422,cc3acdad-11d2-445b-97ab-817695d9c105,Ingelore,Blümel,F,Front Desk Agent,Front Desk,Junior,2024-09-27,69300,9133.06,Night,ingelore.blümel38@luxuryhotels.com,+1-940-519-8071,Benjamin Daniel,Sibling,+1-303-937-3150,5.4,1.4,"Attention to Detail, Conflict Resolution, Customer Service",Russian (Native),,4,Full-time,Master's Degree,3pm-11pm,Meets Expectations,12,10,True,,,1982-12-26,Europe,Benjamin Daniel,+1-303-937-3150
S0001001423,cc3acdad-11d2-445b-97ab-817695d9c105,Nicolás,Solsona,M,Bell Captain,Front Desk,Intermediate,2025-04-22,56000,4804.47,Morning,nicolás.solsona@hotels.com,+1-615-817-3861,Corey Robertson,Sibling,+1-927-257-1746,3.0,0.8,"Problem Solving, Time Management, Multi-tasking, Conflict Resolution, Reservation Systems","Japanese (Native), Spanish (Intermediate), Russian (Intermediate), French (Basic)",,0,Full-time,Vocational Training,9am-5pm,Meets Expectations,10,10,True,,,1981-08-15,Europe,Corey Robertson,+1-927-257-1746
S0001001424,cc3acdad-11d2-445b-97ab-817695d9c105,Laura,Cadorna,F,Concierge,Front Desk,Intermediate,2020-03-24,86100,3752.54,Night,laura.cadorna@hotels.com,+1-266-637-4332,Annette Glover,Friend,+1-496-456-5848,10.9,5.9,"Reservation Systems, Customer Service, Communication, Attention to Detail, Conflict Resolution","Spanish (Native), French (Basic), Japanese (Intermediate)",,2,Part-time,High School,30 hours/week,Meets Expectations,21,9,True,,,1973-03-02,Europe,Annette Glover,+1-496-456-5848
S0001001425,cc3acdad-11d2-445b-97ab-817695d9c105,Régulo,Rius,M,Bellhop,Front Desk,Entry Level,2025-06-23,39300,2654.84,Rotating,régulo.rius67@hotelgroup.com,+1-781-670-2874,Gregory Simpson,Parent,+1-518-687-9673,2.2,0.6,"Communication, Problem Solving, Multi-tasking, Attention to Detail, Computer Skills","English (Native), German (Fluent), Arabic (Fluent), Spanish (Intermediate)",,3,Full-time,High School,10am-6pm,Meets Expectations,9,11,True,,,1996-03-14,Europe,Gregory Simpson,+1-518-687-9673
S0001001426,cc3acdad-11d2-445b-97ab-817695d9c105,Astrid,Da Silva,F,Guest Relations Manager,Front Desk,Senior,2018-04-14,108500,16022.76,Afternoon,astrid.da silva@hospitalitygroup.com,+1-530-331-6736,Kevin Clay,Friend,+1-977-801-3519,14.7,7.8,"Customer Service, Multi-tasking, Computer Skills","Japanese (Native), Russian (Basic), Arabic (Intermediate)","Food Handler, First Aid Certified",2,Full-time,High School,10am-6pm,Meets Expectations,25,12,True,,,1978-06-26,Europe,Kevin Clay,+1-977-801-3519
S0001001427,cc3acdad-11d2-445b-97ab-817695d9c105,Alberto,Tomei,M,Bellhop,Front Desk,Entry Level,2025-07-12,45700,4504.36,Morning,atomei@hospitalitygroup.com,+1-934-543-1983,Joshua Harvey,Spouse,+1-639-365-4638,2.1,0.6,"Computer Skills, Problem Solving, Time Management, Customer Service, Reservation Systems","Japanese (Native), English (Intermediate), Russian (Basic), German (Intermediate)",,3,Full-time,High School,8am-4pm,Meets Expectations,10,10,False,2025-10-24,Terminated,1963-08-18,Europe,Joshua Harvey,+1-639-365-4638
S0001001428,cc3acdad-11d2-445b-97ab-817695d9c105,José,Blasco,M,Concierge,Front Desk,Intermediate,2020-09-24,116500,16746.29,Night,joséb@hotels.com,+1-902-941-3536,Jennifer Flores,Sibling,+1-507-612-3474,9.1,5.4,"Multi-tasking, Communication, Computer Skills, Conflict Resolution","Arabic (Native), English (Basic)",,1,Full-time,Bachelor's Degree,11pm-7am,Meets Expectations,20,10,True,,,1985-06-07,Europe,Jennifer Flores,+1-507-612-3474
S0001001429,cc3acdad-11d2-445b-97ab-817695d9c105,Kayleigh,French,F,Bellhop,Front Desk,Entry Level,2024-10-22,32900,4866.87,Night,kayleigh.french@hotels.com,+1-337-284-1708,Margaret Miller,Sibling,+1-673-852-8910,1.3,1.3,"Time Management, Communication, Multi-tasking, Customer Service, Computer Skills, Problem Solving",Japanese (Native),,2,Full-time,High School,10am-6pm,Meets Expectations,11,11,True,,,1994-07-04,Europe,Margaret Miller,+1-673-852-8910
S0001001430,cc3acdad-11d2-445b-97ab-817695d9c105,Megan,Jackson,F,Concierge,Front Desk,Intermediate,2025-03-05,96200,12252.38,Night,meganj@hotels.com,+1-723-726-6772,Carlos Scott,Parent,+1-847-804-8935,5.8,0.9,"Attention to Detail, Reservation Systems, Conflict Resolution, Problem Solving, Multi-tasking","Japanese (Native), French (Intermediate)",,0,Part-time,Bachelor's Degree,30 hours/week,Needs Improvement,10,10,True,,,1992-02-02,Europe,Carlos Scott,+1-847-804-8935
S0001001431,cc3acdad-11d2-445b-97ab-817695d9c105,Norman,Gardiner,M,Bellhop,Front Desk,Entry Level,2025-06-01,35300,1818.03,Morning,norman.gardiner81@hotels.com,+1-433-944-6932,Erica Marquez,Spouse,+1-298-603-3537,1.3,0.7,"Customer Service, Computer Skills, Conflict Resolution, Multi-tasking, Time Management, Problem Solving",Japanese (Native),,2,Full-time,High School,7am-3pm,Meets Expectations,7,8,True,,,1969-02-18,Europe,Erica Marquez,+1-298-603-3537
S0001001432,cc3acdad-11d2-445b-97ab-817695d9c105,Rafa,Roldan,M,Concierge,Front Desk,Intermediate,2021-01-28,60000,2968.5,Morning,rafar@hotelgroup.com,+1-739-791-9507,Kathleen King,Parent,+1-833-224-4572,8.2,5.0,"Computer Skills, Attention to Detail, Conflict Resolution, Reservation Systems, Customer Service, Multi-tasking",Spanish (Native),,0,Full-time,Bachelor's Degree,9am-5pm,Meets Expectations,22,12,True,,,1976-02-02,Europe,Kathleen King,+1-833-224-4572
S0001001433,cc3acdad-11d2-445b-97ab-817695d9c105,Nicolás,Español,M,Front Desk Agent,Front Desk,Junior,2026-06-27,48700,4656.45,Morning,nicolás.español76@hotelgroup.com,+1-515-705-7176,Eric Cross,Spouse,+1-710-714-9136,2.7,0.1,"Computer Skills, Conflict Resolution, Reservation Systems, Time Management","Chinese (Native), Arabic (Intermediate)",,1,Full-time,High School,9am-5pm,Meets Expectations,9,12,True,,,1985-02-23,Europe,Eric Cross,+1-710-714-9136
S0001001434,cc3acdad-11d2-445b-97ab-817695d9c105,Arturo,Cadorna,M,Bellhop,Front Desk,Entry Level,2024-10-19,48400,1795.52,Afternoon,acadorna@luxuryhotels.com,+1-982-323-1765,Brandon Vazquez,Partner,+1-243-277-1596,3.1,1.3,"Customer Service, Computer Skills, Time Management",Japanese (Native),,2,Full-time,High School,9am-5pm,Exceeds Expectations,11,5,True,,,1973-07-02,Europe,Brandon Vazquez,+1-243-277-1596
S0001001435,cc3acdad-11d2-445b-97ab-817695d9c105,Melchor,Fuster,M,Bellhop,Front Desk,Entry Level,2023-09-19,39800,5535.56,Morning,mfuster@hotelgroup.com,+1-235-550-3858,Thomas Curtis,Partner,+1-426-951-8998,3.7,2.4,"Conflict Resolution, Problem Solving, Communication, Multi-tasking",Arabic (Native),,3,Full-time,High School,3pm-11pm,Unsatisfactory,13,5,True,,,1977-12-03,Europe,Thomas Curtis,+1-426-951-8998
S0001001436,cc3acdad-11d2-445b-97ab-817695d9c105,Élisabeth,Potier,F,Guest Relations Manager,Front Desk,Senior,2023-07-05,96400,3389.97,Night,élisabethp@hotels.com,+1-434-627-9688,Richard Lee,Spouse,+1-992-625-6183,12.0,2.6,"Time Management, Problem Solving, Reservation Systems, Computer Skills",Spanish (Native),,4,Part-time,High School,30 hours/week,Meets Expectations,14,5,False,2025-06-24,Terminated,1979-12-18,Europe,Richard Lee,+1-992-625-6183
S0001001437,cc3acdad-11d2-445b-97ab-817695d9c105,América,Boix,F,Guest Relations Manager,Front Desk,Senior,2025-04-03,100700,8190.15,Afternoon,américa.boix56@hotels.com,+1-288-939-6094,Jeffery Hansen,Parent,+1-225-576-7613,11.3,0.9,"Conflict Resolution, Attention to Detail, Communication, Time Management, Problem Solving","German (Native), Chinese (Intermediate), Japanese (Fluent)",,0,Part-time,Bachelor's Degree,30 hours/week,Meets Expectations,6,7,True,,,1960-10-11,Europe,Jeffery Hansen,+1-225-576-7613
S0001001438,cc3acdad-11d2-445b-97ab-817695d9c105,José María,Vázquez,M,Bell Captain,Front Desk,Intermediate,2018-10-01,72600,2522.14,Morning,josé maría.vázquez65@hotelgroup.com,+1-448-268-4619,John Parker,Sibling,+1-556-557-1489,10.7,7.4,"Attention to Detail, Reservation Systems, Conflict Resolution, Communication, Time Management, Problem Solving","English (Native), Chinese (Intermediate)",,1,Full-time,High School,7am-3pm,Meets Expectations,19,5,True,,,1981-08-23,Europe,John Parker,+1-556-557-1489
S0001001439,cc3acdad-11d2-445b-97ab-817695d9c105,Benvenuto,Iannelli,M,Receptionist,Front Desk,Junior,2024-05-03,54100,3982.64,Night,benvenutoi@hospitalitygroup.com,+1-237-233-2809,Joshua Schmidt,Parent,+1-913-583-1615,3.3,1.8,"Communication, Multi-tasking, Customer Service",Arabic (Native),,3,Full-time,High School,11pm-7am,Meets Expectations,10,9,True,,,2000-09-24,Europe,Joshua Schmidt,+1-913-583-1615
S0001001440,cc3acdad-11d2-445b-97ab-817695d9c105,Ernesto,Casanovas,M,Bell Captain,Front Desk,Intermediate,2020-08-02,94000,8762.83,Rotating,ernesto.casanovas48@hotels.com,+1-587-544-2435,Jason Mcbride,Sibling,+1-235-840-1208,12.0,5.5,"Multi-tasking, Computer Skills, Attention to Detail, Communication","German (Native), Chinese (Intermediate), Arabic (Intermediate), English (Intermediate)",,1,Full-time,High School,7am-3pm,Meets Expectations,17,5,True,,,1996-01-04,Europe,Jason Mcbride,+1-235-840-1208
S0001001441,cc3acdad-11d2-445b-97ab-817695d9c105,Julie,Portero,F,Bell Captain,Front Desk,Intermediate,2023-08-04,99800,4564.8,Rotating,juliep@luxuryhotels.com,+1-444-580-9926,Joshua Reyes,Friend,+1-907-209-7585,5.7,2.5,"Multi-tasking, Time Management, Reservation Systems, Communication, Computer Skills","Russian (Native), Japanese (Fluent), French (Basic)",,1,Part-time,High School,30 hours/week,Meets Expectations,13,7,True,,,1997-04-11,Europe,Joshua Reyes,+1-907-209-7585
S0001001442,cc3acdad-11d2-445b-97ab-817695d9c105,Mohammad,Smith,M,Front Desk Agent,Front Desk,Junior,2023-10-28,53100,6583.56,Night,msmith@luxuryhotels.com,+1-437-244-7038,Jacqueline Potter,Friend,+1-841-886-8907,4.4,2.3,"Customer Service, Attention to Detail, Problem Solving","Spanish (Native), Russian (Fluent), Chinese (Intermediate)",,0,Part-time,Bachelor's Degree,30 hours/week,Unsatisfactory,12,12,True,,,1964-03-13,Europe,Jacqueline Potter,+1-841-886-8907
S0001001443,cc3acdad-11d2-445b-97ab-817695d9c105,Jayne,Ashton,F,Front Desk Agent,Front Desk,Junior,2024-01-11,57600,6987.24,Morning,jayne.ashton43@luxuryhotels.com,+1-570-448-1381,John Salazar,Spouse,+1-526-653-1185,4.6,2.1,"Communication, Problem Solving, Multi-tasking, Time Management, Customer Service","German (Native), Japanese (Basic)",,2,Full-time,High School,3pm-11pm,Meets Expectations,13,5,False,2024-05-25,Relocated,1965-07-02,Europe,John Salazar,+1-526-653-1185
S0001001444,cc3acdad-11d2-445b-97ab-817695d9c105,Ramon,Kambs,M,Bell Captain,Front Desk,Intermediate,2021-06-26,65600,7497.58,Rotating,ramonk@hospitalitygroup.com,+1-407-684-9389,Joshua Sharp,Partner,+1-479-735-3697,8.9,4.6,"Customer Service, Conflict Resolution, Reservation Systems","German (Native), Chinese (Intermediate), Arabic (Intermediate), Spanish (Fluent)",,0,Full-time,Bachelor's Degree,11pm-7am,Needs Improvement,10,11,True,,,1978-12-04,Europe,Joshua Sharp,+1-479-735-3697
S0001001445,cc3acdad-11d2-445b-97ab-817695d9c105,Liesbeth,Mitschke,F,Bell Captain,Front Desk,Intermediate,2024-06-28,91200,9031.38,Morning,liesbeth.mitschke12@hospitalitygroup.com,+1-575-906-2829,Eric Waters,Sibling,+1-294-846-9961,7.3,1.6,"Time Management, Computer Skills, Attention to Detail",German (Native),,3,Full-time,High School,11pm-7am,Meets Expectations,12,12,True,,,2000-03-21,Europe,Eric Waters,+1-294-846-9961
S0001001446,cc3acdad-11d2-445b-97ab-817695d9c105,Maureen,Brown,F,Front Desk Agent,Front Desk,Junior,2026-11-16,61300,2766.72,Rotating,mbrown@hotels.com,+1-415-502-1828,Shane Rogers,Friend,+1-399-577-1603,1.4,0.1,"Communication, Conflict Resolution, Computer Skills, Reservation Systems","Russian (Native), English (Fluent), German (Fluent), Arabic (Intermediate)",,1,Full-time,High School,9am-5pm,Meets Expectations,10,10,False,,Terminated,1966-02-04,Europe,Shane Rogers,+1-399-577-1603
S0001001447,cc3acdad-11d2-445b-97ab-817695d9c105,Mariano,Tasso,M,Front Desk Agent,Front Desk,Junior,2024-01-09,66800,9871.07,Morning,mariano.tasso28@hotels.com,+1-261-933-2619,Oscar Mccoy,Parent,+1-812-749-6503,5.6,2.1,"Multi-tasking, Communication, Attention to Detail, Computer Skills","Arabic (Native), French (Intermediate), English (Basic)",,4,Part-time,High School,20 hours/week,Unsatisfactory,10,9,True,,,1963-06-26,Europe,Oscar Mccoy,+1-812-749-6503
S0001001448,cc3acdad-11d2-445b-97ab-817695d9c105,Marine,Henry,F,Bell Captain,Front Desk,Intermediate,2022-09-20,86700,3503.43,Night,marine.henry@hotels.com,+1-706-636-8304,Jonathan Jones,Spouse,+1-582-655-1558,6.6,3.4,"Conflict Resolution, Multi-tasking, Communication","German (Native), Chinese (Intermediate), Arabic (Intermediate), English (Basic)",,2,Full-time,High School,10am-6pm,Exceeds Expectations,15,9,True,,,2002-02-07,Europe,Jonathan Jones,+1-582-655-1558
S0001001449,cc3acdad-11d2-445b-97ab-817695d9c105,Olga,Faranda,F,Concierge,Front Desk,Intermediate,2018-09-02,112800,6633.84,Night,ofaranda@hotels.com,+1-396-591-9463,Jerry Simmons,Parent,+1-355-720-1959,14.0,7.4,"Customer Service, Problem Solving, Time Management, Communication",Chinese (Native),,1,Full-time,Bachelor's Degree,10am-6pm,Meets Expectations,20,12,True,,,1970-08-02,Europe,Jerry Simmons,+1-355-720-1959
S0001001450,cc3acdad-11d2-445b-97ab-817695d9c105,Marita,Solano,F,Bell Captain,Front Desk,Intermediate,2024-08-18,112100,15117.21,Night,msolano@hotelgroup.com,+1-376-501-2994,Brent Casey,Parent,+1-986-299-5439,8.5,1.5,"Attention to Detail, Customer Service, Multi-tasking, Reservation Systems, Communication, Conflict Resolution","Russian (Native), Japanese (Basic)",,4,Part-time,Bachelor's Degree,30 hours/week,Meets Expectations,10,5,True,,,1975-05-19,Europe,Brent Casey,+1-986-299-5439
S0001001451,cc3acdad-11d2-445b-97ab-817695d9c105,Gioele,Anastasi,M,Bell Captain,Front Desk,Intermediate,2020-07-23,73200,5071.81,Morning,ganastasi@hospitalitygroup.com,+1-713-970-4568,Marc Johnson,Parent,+1-730-814-1495,10.2,5.6,"Customer Service, Multi-tasking, Conflict Resolution, Problem Solving",Spanish (Native),,1,Full-time,High School,10am-6pm,Exceeds Expectations,15,7,True,,,1955-01-10,Europe,Marc Johnson,+1-730-814-1495
S0001001452,cc3acdad-11d2-445b-97ab-817695d9c105,Marcus,Morgan,M,Guest Relations Manager,Front Desk,Senior,2023-10-04,112000,11597.61,Rotating,marcus.morgan@hotelgroup.com,+1-261-842-8543,Christopher Nicholson,Parent,+1-302-382-6437,8.7,2.4,"Problem Solving, Communication, Time Management, Conflict Resolution, Reservation Systems, Attention to Detail","Spanish (Native), French (Basic), German (Intermediate)",,4,Full-time,Vocational Training,3pm-11pm,Meets Expectations,10,6,True,,,1998-12-19,Europe,Christopher Nicholson,+1-302-382-6437
